DDate,FB,SNP
2017-06-12,1.667,0.2997
2017-06-19,2.2148,-0.174
2017-06-26,-3.3728,-0.8149
2017-07-03,-0.1846,-0.2554
2017-07-10,5.4585,1.4337
2017-07-17,2.6084,0.5302
2017-07-24,4.7437,0.0024
2017-07-31,-1.3837,0.0359
2017-08-07,-1.1003,-1.446
2017-08-14,-1.5756,-1.198
2017-08-21,-0.5025,0.7236
2017-08-28,3.0615,1.1931
2017-09-04,-0.1868,-0.3611
2017-09-11,-0.4408,1.039
2017-09-18,-0.8431,-0.0116
2017-09-25,0.9631,0.799
2017-10-02,0.4901,1.1157
2017-10-09,0.6022,0.0698
2017-10-16,0.2808,0.7685
2017-10-23,1.5297,0.116
2017-10-30,-0.1897,0.3914
2017-11-06,-0.056,-0.1998
2017-11-13,0.8451,0.09
2017-11-20,2.1859,0.8889
2017-11-27,-4.0863,1.52
2017-12-04,1.5372,-0.2141
2017-12-11,0.4908,0.8906
2017-12-18,-2.1049,-0.0961
2017-12-25,-0.0962,-0.2045
2018-01-01,5.161,2.2141
2018-01-08,-4.1827,1.5886
2018-01-15,-0.1157,0.4052
2018-01-22,5.0885,2.2679
2018-01-29,0.8106,-3.6656
2018-02-05,-5.7883,-4.433
2018-02-12,0.1694,3.6207
2018-02-19,4.2783,0.8928
2018-02-26,-4.3125,-2.3979
2018-03-05,5.1249,3.9354
2018-03-12,-0.0756,-1.3807
2018-03-19,-9.9542,-5.5855
2018-03-26,-0.6405,0.8216
2018-04-02,-0.3865,-1.1005
2018-04-09,4.2453,1.4947
2018-04-16,0.3379,0.0015
2018-04-23,3.7783,-0.2052
2018-04-30,1.6226,-0.7116
2018-05-07,5.4356,1.7677
2018-05-14,-2.6797,-0.9312
2018-05-21,0.6258,-0.514
2018-05-28,5.2349,1.0909
2018-06-04,-1.4283,1.3627
2018-06-11,3.7286,-0.0187
2018-06-18,3.5626,-0.3945
2018-06-25,-2.84,-0.8958
2018-07-02,5.099,2.0285
2018-07-09,1.1663,0.9256
2018-07-16,1.1759,0.1598
2018-07-23,-16.9484,0.702
2018-07-30,1.4147,0.7574
2018-08-06,0.7208,-0.2468
2018-08-13,-3.4981,0.5174
2018-08-20,0.3505,0.7274
2018-08-27,-0.1477,0.5834
2018-09-03,-6.0288,-0.8726
2018-09-10,-0.7278,0.8187
2018-09-17,0.6238,0.8899
2018-09-24,2.13,-0.2687
2018-10-01,-3.4963,-1.3915
2018-10-08,-1.1573,-3.8366
2018-10-15,0.4761,0.1429
2018-10-22,-6.0675,-4.1547
2018-10-29,1.2458,1.5063
2018-11-05,-3.4244,2.0041
2018-11-12,-3.4261,-1.3576
2018-11-19,-4.2729,-3.5954
2018-11-26,5.7218,4.1585
2018-12-03,-3.9021,-5.6413
2018-12-10,3.1948,-1.1749
2018-12-17,-12.6712,-6.7212
2018-12-24,8.2047,3.5483
2018-12-31,2.6032,1.3206
2019-01-07,4.5362,2.3919
2019-01-14,5.662,3.5035
2019-01-21,-0.1273,0.2589
2019-01-28,11.9284,2.3274
2019-02-04,0.9837,0.0514
2019-02-11,-3.2162,2.33
2019-02-18,0.866,0.8446
2019-02-25,-0.4845,-0.0235
2019-03-04,3.4777,-2.5334
2019-03-11,-3.2751,2.7249
2019-03-18,0.4707,-0.7759
2019-03-25,2.2638,1.373
2019-04-01,4.7012,1.5485
2019-04-08,2.2202,0.6561
2019-04-15,-0.1232,-0.1131
2019-04-22,7.4278,1.4178
2019-04-29,2.3671,0.1721
2019-05-06,-1.5164,-0.945
2019-05-13,0.9809,0.6809
2019-05-20,-0.4508,-0.5588
2019-05-27,-2.2419,-2.7551
2019-06-03,-0.9429,4.427
2019-06-10,1.917,-0.0038
